Test Map Name,Distance Threshold,Rate,Path Cost,Iterations,Time Cost,Canceled Iterations,No. Trials
test_1,100,0.25,217.3137032,3.49,0.000271258,0.04,100
test_1,100,0.25,217.3137032,3.49,0.000271258,0.04,100
test_1,50,0.25,218.7778663,3.52,0.000156209,0.09,100
test_2,10,0.5,521.7923785,13.38,0.001529503,27.49,100
test_2,50,0.25,527.8217728,12.73,0.001348655,24.23,100
test_2,50,0.25,527.8217728,12.73,0.001348655,24.23,100
test_3,50,0.5,1191.591477,178.23,0.032536201,527.33,100
test_3,50,0.5,1191.591477,178.23,0.032536201,527.33,100
test_3,50,0.5,1191.591477,178.23,0.032536201,527.33,100
test_4,10,0.5,756.6463184,30.18,0.003838756,71.47,100
test_4,10,0.5,756.6463184,30.18,0.003838756,71.47,100
test_4,10,0.5,756.6463184,30.18,0.003838756,71.47,100
test_5,50,0.25,1466.186769,238.24,0.052778485,1057.49,100
test_5,50,0.25,1466.186769,238.24,0.052778485,1057.49,100
test_5,50,0.25,1466.186769,238.24,0.052778485,1057.49,100
test_6,10,0.5,717.1471618,84.71,0.017051272,335.4,100
test_6,100,0.25,718.5005634,66.54,0.013574667,301.1,100
test_6,100,0.25,718.5005634,66.54,0.013574667,301.1,100
test_7,10,0.5,1865.728079,2141.68,2.352876248,33545.97,100
test_7,10,0,1870.35217,1916.73,2.071322131,31790.67,100
test_7,10,0,1870.35217,1916.73,2.071322131,31790.67,100
test_8,10,0,1767.382037,1912.22,1.399932051,9455.51,100
test_8,100,0,1788.185441,1883.37,1.294984317,9152.77,100
test_8,100,0,1788.185441,1883.37,1.294984317,9152.77,100
